Model_NM	QcParam_NO	Material_CD	Parameter_MAX	Parameter_MIN	Parameter_VAL	QcLine_MAX	QcLine_MIN	AimLine_VAL	AimRate_VAL	DS_FG	Del_FG	UpdUser_CD	LastUpd_DT	Equipment_NO	InnerUpperLimit	InnerLowerLimit	ParamGetUpperCond	ParamGetLowerCond	ResinGroup_CD
AI	1329	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	1706	NFSL757G120655          	9999999.0000	-9999999.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	154	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2019-05-21 13:01:16.000		NULL	NULL	NULL	NULL	
AI	155	NFSL757G120655          	999999.0000	-999999.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2019-05-21 13:01:16.000		NULL	NULL	NULL	NULL	
AI	156	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2019-05-21 13:01:16.000		NULL	NULL	NULL	NULL	
AI	167	NFSL757G120655          	999999.0000	-999999.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2019-05-21 13:01:16.000		NULL	NULL	NULL	NULL	
AI	168	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2019-05-21 13:01:16.000		NULL	NULL	NULL	NULL	
AI	188	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2019-05-21 13:01:16.000		NULL	NULL	NULL	NULL	
AI	189	NFSL757G120655          	999999.0000	-999999.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2019-05-21 13:01:16.000		NULL	NULL	NULL	NULL	
AI	190	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2019-05-21 13:01:16.000		NULL	NULL	NULL	NULL	
AI	233	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2019-05-21 13:01:16.000		NULL	NULL	NULL	NULL	
AI	234	NFSL757G120655          	999999.0000	-999999.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2019-05-21 13:01:16.000		NULL	NULL	NULL	NULL	
AI	235	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2019-05-21 13:01:16.000		NULL	NULL	NULL	NULL	
AI	502	NFSL757G120655          	75.0000	63.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	503	NFSL757G120655          	75.0000	63.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	511	NFSL757G120655          	120.0000	45.0000	NULL	NULL	NULL	NULL	NULL	0	0	40260   	2021-02-02 13:49:15.113		NULL	NULL	NULL	NULL	
AI	512	NFSL757G120655          	79.0000	65.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	513	NFSL757G120655          	79.0000	65.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	519	NFSL757G120655          	7.0000	0.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	520	NFSL757G120655          	9999999.0000	-9999999.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	526	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:58.000		NULL	NULL	NULL	NULL	
AI	527	NFSL757G120655          	200.0000	0.0000	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:59.000		NULL	NULL	NULL	NULL	
AI	533	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:59.000		NULL	NULL	NULL	NULL	
AI	534	NFSL757G120655          	100.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:59.000		NULL	NULL	NULL	NULL	
AI	540	NFSL757G120655          	100.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:59.000		NULL	NULL	NULL	NULL	
AI	541	NFSL757G120655          	9999999.0000	NULL	NULL	NULL	NULL	NULL	NULL	0	0	2422    	2018-01-30 15:14:59.000		NULL	NULL	NULL	NULL	
